"GEO_ID","NAME","B27010_001E","B27010_001M","B27010_002E","B27010_002M","B27010_003E","B27010_003M","B27010_004E","B27010_004M","B27010_005E","B27010_005M","B27010_006E","B27010_006M","B27010_007E","B27010_007M","B27010_008E","B27010_008M","B27010_009E","B27010_009M","B27010_010E","B27010_010M","B27010_011E","B27010_011M","B27010_012E","B27010_012M","B27010_013E","B27010_013M","B27010_014E","B27010_014M","B27010_015E","B27010_015M","B27010_016E","B27010_016M","B27010_017E","B27010_017M","B27010_018E","B27010_018M","B27010_019E","B27010_019M","B27010_020E","B27010_020M","B27010_021E","B27010_021M","B27010_022E","B27010_022M","B27010_023E","B27010_023M","B27010_024E","B27010_024M","B27010_025E","B27010_025M","B27010_026E","B27010_026M","B27010_027E","B27010_027M","B27010_028E","B27010_028M","B27010_029E","B27010_029M","B27010_030E","B27010_030M","B27010_031E","B27010_031M","B27010_032E","B27010_032M","B27010_033E","B27010_033M","B27010_034E","B27010_034M","B27010_035E","B27010_035M","B27010_036E","B27010_036M","B27010_037E","B27010_037M","B27010_038E","B27010_038M","B27010_039E","B27010_039M","B27010_040E","B27010_040M","B27010_041E","B27010_041M","B27010_042E","B27010_042M","B27010_043E","B27010_043M","B27010_044E","B27010_044M","B27010_045E","B27010_045M","B27010_046E","B27010_046M","B27010_047E","B27010_047M","B27010_048E","B27010_048M","B27010_049E","B27010_049M","B27010_050E","B27010_050M","B27010_051E","B27010_051M","B27010_052E","B27010_052M","B27010_053E","B27010_053M","B27010_054E","B27010_054M","B27010_055E","B27010_055M","B27010_056E","B27010_056M","B27010_057E","B27010_057M","B27010_058E","B27010_058M","B27010_059E","B27010_059M","B27010_060E","B27010_060M","B27010_061E","B27010_061M","B27010_062E","B27010_062M","B27010_063E","B27010_063M","B27010_064E","B27010_064M","B27010_065E","B27010_065M","B27010_066E","B27010_066M",
"1400000US25001010800","Census Tract 108, Barnstable County, Massachusetts","4239","347","627","134","600","135","437","165","44","63","0","12","119","102","0","12","0","12","27","43","0","12","0","12","0","12","0","12","0","12","27","43","0","12","360","207","305","191","176","115","125","155","0","12","4","22","0","12","0","12","40","45","0","12","0","12","0","12","0","12","0","12","40","45","15","23","1831","235","1618","227","1203","251","241","174","0","12","135","118","0","12","39","58","115","91","33","47","0","12","0","12","0","12","0","12","0","12","82","92","98","104","1421","186","333","135","18","29","0","12","315","132","0","12","0","12","1088","205","0","12","361","148","476","203","0","12","0","12","0","12","251","119","0","12",
"1400000US25001010900","Census Tract 109, Barnstable County, Massachusetts","5299","343","1002","208","972","219","320","140","117","109","0","17","535","223","0","17","0","17","30","49","0","17","0","17","0","17","0","17","0","17","30","49","0","17","876","221","773","200","335","168","113","133","0","17","325","198","0","17","0","17","47","74","0","17","0","17","0","17","0","17","47","74","0","17","56","59","1861","166","1615","171","988","226","386","197","30","33","211","104","0","17","0","17","170","89","64","59","0","17","16","25","58","54","0","17","0","17","32","36","76","58","1560","251","283","108","86","67","0","17","197","88","0","17","0","17","1277","238","0","17","526","139","376","152","36","43","0","17","0","17","339","140","0","17",
"1400000US25001011002","Census Tract 110.02, Barnstable County, Massachusetts","3949","341","672","140","558","129","306","113","20","32","0","12","196","90","36","55","0","12","114","81","33","51","0","12","0","12","0","12","0","12","81","85","0","12","483","168","267","120","108","95","9","14","0","12","150","80","0","12","0","12","114","93","62","65","0","12","0","12","0","12","0","12","52","52","102","76","1545","204","1318","206","846","180","226","87","10","15","203","88","33","39","0","12","143","69","19","23","0","12","0","12","20","21","0","12","10","14","94","60","84","58","1249","158","317","101","37","34","0","12","280","99","0","12","0","12","932","170","0","12","283","90","221","85","43","29","0","12","0","12","385","113","0","12",
"1400000US25001011100","Census Tract 111, Barnstable County, Massachusetts","4767","363","777","154","691","204","277","206","166","222","0","12","248","198","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","86","131","645","237","645","237","418","298","74","80","3","6","150","86","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1912","253","1698","231","1154","274","385","228","0","12","147","106","12","20","0","12","136","110","64","75","0","12","0","12","22","32","0","12","0","12","50","64","78","87","1433","179","470","168","45","53","0","12","425","154","0","12","0","12","963","187","0","12","286","110","337","162","85","87","0","12","53","71","202","89","0","12",
"1400000US25001011200","Census Tract 112, Barnstable County, Massachusetts","3321","330","366","99","311","90","166","88","0","12","11","16","134","81","0","12","0","12","55","79","0","12","0","12","0","12","0","12","0","12","55","79","0","12","416","121","291","129","239","126","21","34","0","12","31","40","0","12","0","12","53","52","0","12","0","12","0","12","0","12","0","12","53","52","72","48","1125","168","774","142","515","117","142","71","12","19","96","59","0","12","9","15","257","118","29","24","0","12","0","12","16","18","0","12","0","12","212","116","94","62","1414","197","271","79","45","41","0","12","226","71","0","12","0","12","1143","184","0","12","393","116","337","94","51","26","0","12","0","12","362","134","0","12",
"1400000US25001011300","Census Tract 113, Barnstable County, Massachusetts","2551","272","176","76","139","77","45","42","19","21","0","12","75","61","0","12","0","12","37","33","18","27","0","12","0","12","0","12","0","12","19","21","0","12","278","106","268","105","163","87","77","60","0","12","28","44","0","12","0","12","10","15","0","12","0","12","0","12","0","12","0","12","10","15","0","12","823","130","653","121","457","108","80","45","8","13","108","65","0","12","0","12","67","43","18","29","8","12","0","12","17","20","0","12","0","12","24","24","103","70","1274","176","197","108","19","21","9","14","169","107","0","12","0","12","1077","189","0","12","418","135","268","120","14","17","0","12","26","23","351","102","0","12",
"1400000US25001011400","Census Tract 114, Barnstable County, Massachusetts","2970","269","337","130","326","130","206","125","0","12","0","12","120","96","0","12","0","12","11","17","0","12","0","12","0","12","0","12","0","12","11","17","0","12","333","141","333","141","271","134","24","26","0","12","38","50","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","876","168","701","134","461","137","118","70","0","12","122","66","0","12","0","12","92","65","0","12","22","34","0","12","0","12","0","12","0","12","70","48","83","48","1424","219","182","85","0","12","0","12","182","85","0","12","0","12","1233","218","0","12","530","176","369","120","28","26","0","12","54","53","252","96","9","14",
"1400000US25001011500","Census Tract 115, Barnstable County, Massachusetts","3446","340","530","153","399","135","228","131","0","12","0","12","171","89","0","12","0","12","69","85","0","12","0","12","0","12","0","12","0","12","69","85","62","67","478","149","443","147","308","153","33","33","0","12","102","61","0","12","0","12","35","32","14","20","0","12","12","20","0","12","0","12","9","20","0","12","1418","190","1207","194","797","167","192","117","10","15","208","78","0","12","0","12","186","76","54","44","5","9","0","12","34","30","0","12","0","12","93","65","25","30","1020","124","188","68","4","6","0","12","184","67","0","12","0","12","832","125","0","12","327","102","104","54","118","58","0","12","9","14","274","89","0","12",
"1400000US25001011600","Census Tract 116, Barnstable County, Massachusetts","3001","366","616","222","508","223","143","109","0","12","0","12","365","206","0","12","0","12","108","88","14","22","0","12","0","12","0","12","0","12","94","87","0","12","524","181","328","157","187","97","62","73","0","12","79","75","0","12","0","12","131","126","30","49","0","12","0","12","0","12","0","12","101","119","65","85","1198","187","880","166","612","160","60","44","10","15","189","96","9","13","0","12","266","130","53","58","0","12","36","51","14","19","0","12","0","12","163","107","52","52","663","133","164","72","10","15","0","12","154","69","0","12","0","12","499","124","0","12","118","68","104","70","43","42","0","12","29","25","205","95","0","12",
"1400000US25001011700","Census Tract 117, Barnstable County, Massachusetts","1872","178","125","45","110","50","65","48","17","20","0","12","28","23","0","12","0","12","15","30","0","12","0","12","0","12","0","12","0","12","15","30","0","12","270","109","227","102","65","43","82","81","0","12","80","48","0","12","0","12","16","19","16","19","0","12","0","12","0","12","0","12","0","12","27","28","724","129","560","115","373","96","55","37","0","12","132","54","0","12","0","12","102","56","0","12","0","12","19","29","21","17","0","12","0","12","62","47","62","50","753","94","194","63","18","18","0","12","176","60","0","12","0","12","559","96","0","12","178","52","182","79","6","9","0","12","15","21","178","63","0","12",
"1400000US25001011801","Census Tract 118.01, Barnstable County, Massachusetts","2311","176","172","55","172","55","77","44","27","40","0","12","68","76","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","97","58","97","58","97","58","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","589","95","566","94","450","109","61","44","0","12","55","40","0","12","0","12","16","25","16","25","0","12","0","12","0","12","0","12","0","12","0","12","7","11","1453","140","332","98","27","23","0","12","305","101","0","12","0","12","1101","169","0","12","353","103","428","106","29","29","0","12","0","12","291","104","20","25",
"1400000US25001011802","Census Tract 118.02, Barnstable County, Massachusetts","4162","382","776","174","590","149","329","136","0","12","0","12","261","124","0","12","0","12","165","149","0","12","0","12","0","12","0","12","0","12","165","149","21","35","634","204","545","193","296","179","56","51","0","12","193","129","0","12","0","12","59","79","0","12","0","12","0","12","0","12","0","12","59","79","30","37","1442","206","1292","203","902","201","149","77","6","9","227","119","8","13","0","12","125","65","40","37","8","13","9","13","21","26","0","12","0","12","47","41","25","41","1310","103","215","76","8","12","9","14","198","73","0","12","0","12","1095","109","0","12","292","98","385","103","55","33","0","12","19","31","344","85","0","12",
